window_start,window_end,lookahead_start,lookahead_end,churned,contract_start_date,contract_id,merchant_name,web_access_enabled,api_access_enabled,csv_export_enabled,renewals_in_lookahead,user_count,metric_bundle_count,mfa_enabled,api_calls_per_month,logins_in_window,renewal_revenue_in_window,new_business_revenue_in_window,upsell_revenue_in_window,contract_age,AvgUniqueUsers,SessionCount,PageviewCount,SavedReportCount,CompareGroupCount,supportTicketCount,PageviewSlope,SessionSlope,ScheduledReportSlope,SavedReportSlope,CompareGroupSlope,minTicketSentiment,maxTicketOpenTime,avgTicketSentiment
2018-03-31,2018-09-30,2018-09-30,2018-12-30,1.0,2017-12-01,CNT000112,Merchant 000112,True,True,True,1,843,476,1,0,0,0.00,0.00,0.00,303,163.0697,1025.5033,14857.7394,0.0,55.145,0.0,-1605.9518,-78.3865,0.0,0.0,46.2376,,,
2018-06-30,2018-12-30,2018-12-30,2019-03-30,0.0,2012-05-01,CNT000395,Merchant 000395,True,True,True,0,2370,472,1,588012387,0,0.00,0.00,0.00,2434,1273.9075,30370.5552,764530.9543,154.5904,2671.6253,362.4575,-16953.9441,843.4364,29.67,147.8442,2618.3941,0.0103,61.0,0.8492659722222222
2017-11-30,2018-05-30,2018-05-30,2018-08-30,0.0,2017-03-20,CNT000554,Merchant 000554,True,True,True,0,1017,256,1,0,0,0.00,0.00,0.00,436,2489.2873,9934.2205,89975.2635,39.592,1888.1808,22.1753,9454.2183,2554.8717,0.0,33.5024,1258.7854,-0.3313,1.0,-0.3313
2018-05-31,2018-11-30,2018-11-30,2019-02-28,0.0,2017-11-01,CNT000433,Merchant 000433,True,False,True,0,755,527,1,0,0,0.00,0.00,0.00,394,306.6172,5035.0083,43284.9485,0.0,238.4715,0.0,-17836.3625,-1131.5273,0.0,0.0,69.3522,,,
2017-11-30,2018-05-30,2018-05-30,2018-08-30,0.0,2016-03-01,CNT001045,Merchant 001045,True,True,True,0,4100,448,1,0,15,1648787.43,0.00,0.20,820,903.1165,9643.5958,232262.6718,43.7026,904.0928,0.0,39237.6013,2336.593,0.0,36.6105,876.3345,,,
2019-05-31,2019-11-30,2019-11-30,2020-02-29,0.0,2016-11-01,CNT000054,Merchant 000054,True,False,True,0,1354,479,1,0,16,840833.50,0.00,0.00,1124,951.5067,5022.3941,81297.7409,69.2511,545.1052,0.0,-22613.5009,-882.4303,82.3072,67.2626,208.3898,,,
2019-05-31,2019-11-30,2019-11-30,2020-02-29,0.0,2019-04-01,CNT000327,Merchant 000327,True,False,True,0,777,473,1,0,0,0.00,0.00,0.00,243,215.2616,22264.1524,327144.897,9.6608,235.613,22.263,32854.9214,1197.3261,0.0,9.5927,171.268,0.8297,0.0,0.8297
2018-11-30,2019-05-30,2019-05-30,2019-08-30,0.0,2018-03-26,CNT000982,Merchant 000982,True,False,True,0,1600,357,1,0,16,4173695.29,0.00,0.00,430,514.0974,6044.4125,92633.418,59.834,744.962,0.0,3047.3382,50.3411,0.0,68.0156,574.7739,,,
2018-04-30,2018-10-30,2018-10-30,2019-01-30,0.0,2016-05-01,CNT000039,Merchant 000039,True,True,True,0,296076,266,1,0,16,427094.67,0.00,0.00,912,18.5594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-03-31,2019-09-30,2019-09-30,2019-12-30,0.0,2018-09-18,CNT000014,Merchant 000014,True,True,True,0,1807,271,1,0,0,0.00,0.00,0.00,377,143.585,468.985,6465.9981,33.9391,81.5752,0.0,2255.7186,125.1832,15.2517,21.8849,53.6854,,,
2018-12-31,2019-06-30,2019-06-30,2019-09-30,0.0,2018-08-09,CNT000299,Merchant 000299,True,True,True,1,160,390,1,0,0,0.00,0.00,0.00,325,81.3819,2317.3049,8678.0722,0.0,44.6501,0.0,-2036.681,-468.7264,0.0,0.0,22.634,,,
2017-11-30,2018-05-30,2018-05-30,2018-08-30,0.0,2016-09-01,CNT001001,Merchant 001001,True,True,True,0,1899,390,1,0,0,0.00,0.00,0.00,636,486.9905,221.6247,3720.0215,0.0,21.4335,0.0,0.0,84.8735,0.0,0.0,26.2849,,,
2019-05-31,2019-11-30,2019-11-30,2020-02-29,1.0,2017-12-04,CNT000217,Merchant 000217,True,True,True,1,1888,367,1,0,0,0.00,0.00,0.00,726,300.8768,2242.7831,23104.0946,93.6686,938.4338,20.7887,6765.203,661.0572,0.0,100.5263,813.1461,0.0,14.0,0.0
2019-02-28,2019-08-28,2019-08-28,2019-11-28,0.0,2016-12-01,CNT000406,Merchant 000406,True,True,True,0,11832,493,1,0,0,0.00,0.00,0.00,1000,2204.8078,6291.3021,84818.6177,52.2599,689.9879,71.2808,-4860.6234,-304.3357,0.0,50.9667,557.0623,0.6808,144.0,0.8811333333333332
2017-12-31,2018-06-30,2018-06-30,2018-09-30,0.0,2016-10-01,CNT000085,Merchant 000085,True,False,True,1,32644,523,1,0,0,0.00,0.00,0.00,637,975.2647,33545.0436,787327.1993,43.6171,1165.6396,0.0,65501.8042,6720.9407,27.2873,40.6184,1092.0734,,,
2017-11-30,2018-05-30,2018-05-30,2018-08-30,0.0,2014-01-01,CNT000397,Merchant 000397,True,True,True,0,331,141,1,0,18,1333139.41,0.00,0.00,1610,300.1001,5506.7165,103085.0199,0.0,20.8364,0.0,11125.0742,887.7588,0.0,0.0,-129.7328,,,
2018-02-28,2018-08-28,2018-08-28,2018-11-28,0.0,2017-07-03,CNT000377,Merchant 000377,True,False,True,0,4332,518,1,0,33,1934997.98,0.00,1011645.00,421,331.6423,7539.5419,149305.3089,27.4403,315.728,22.7719,791.0808,-406.5009,0.0,31.3613,284.896,0.9473,38.0,0.9473
2018-08-31,2019-02-28,2019-02-28,2019-05-28,0.0,2017-10-31,CNT000056,Merchant 000056,True,False,True,0,300,411,1,0,15,698761.82,0.00,0.00,485,171.4017,2751.3299,37566.2758,0.0,139.0121,0.0,-12102.4306,-651.4378,0.0,0.0,22.875,,,
2019-02-28,2019-08-28,2019-08-28,2019-11-28,0.0,2014-03-27,CNT000458,Merchant 000458,True,True,True,0,272451,404,1,14249882,19,0.00,0.00,1887063.33,1980,9113.2119,85937.518,1752390.2,344.4189,3185.9657,108.3444,53186.4915,962.1253,293.1249,351.7489,3132.843,-0.4172,7.0,0.4581099999999999
2019-03-31,2019-09-30,2019-09-30,2019-12-30,0.0,2017-10-01,CNT000536,Merchant 000536,True,False,True,1,12028,529,1,0,0,0.00,0.00,0.00,729,7760.8756,102342.2555,1453021.0,338.6894,3516.6663,0.0,-59639.7368,-6486.4791,92.2747,268.5986,2438.4258,,,
2019-01-31,2019-07-31,2019-07-31,2019-10-31,0.0,2015-06-01,CNT000970,Merchant 000970,True,True,True,0,955,688,1,0,0,0.00,0.00,0.00,1521,2378.9448,7623.5683,46681.2406,0.0,96.8451,21.544,-7304.6614,-954.6949,0.0,0.0,48.8183,0.9991,8.0,0.9991
2018-03-31,2018-09-30,2018-09-30,2018-12-30,0.0,2017-10-01,CNT000194,Merchant 000194,True,True,True,0,4571,476,1,0,18,0.00,0.00,408719.05,364,527.1101,17179.4008,362327.1484,54.1595,1028.5144,0.0,34498.7174,1508.2565,65.6995,54.2592,755.2549,,,
2018-12-31,2019-06-30,2019-06-30,2019-09-30,0.0,2013-07-01,CNT000533,Merchant 000533,True,True,True,0,9180,686,1,124126102,15,0.00,0.00,721548.09,2190,7597.2193,123674.3156,2410756.3,270.0546,5341.3917,137.4037,33344.1375,-1217.5099,14.1451,269.3503,4243.8269,0.0,122.0,0.6710916666666668
2018-01-31,2018-07-31,2018-07-31,2018-10-31,0.0,2016-03-01,CNT000915,Merchant 000915,True,True,True,0,965,251,1,0,18,755355.85,0.00,0.00,882,994.4982,1853.1909,25394.4599,0.0,194.8043,0.0,-2674.803,-267.6152,0.0,0.0,181.119,,,
